GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LearnInterface,com.blitznihar.app.implementation,Fibonaci,0,72,0,8,0,19,0,8,0,4
LearnInterface,com.blitznihar.app,App,10,0,0,0,3,0,2,0,2,0
